Product Title,Original Title,Shopify Price,Source Price,Profit Margin %,Product URL,Seller Name,Seller Rating,Image Count,Final Score,SKU
Magnetic Original Phone Case for Iphone 14 Pro Max,Original Silicone Phone Case With MagSafe For iPhone 14 Pro Max 14 Pro 14 Plus,$17.57,$12.55,40.0%,https://www.ebay.com/itm/286453125268,,N/A,10,299,EBAY_90ABC41E
Shockproof Waterproof Phone Case for Galaxy S21,"Waterproof Shockproof Phone Case For Samsung Galaxy S21,S21+ Plus, S21 Ultra 5G",$26.59,$18.99,40.0%,https://www.ebay.com/itm/255052193355,,N/A,10,293,EBAY_3991B4FF
Leather Phone Case for Iphone 16,Personalised Leather Phone Case for iPhone 16 16e 15 14 13 12 Pro Max Initials,$15.32,$10.94,40.0%,https://www.ebay.com/itm/267388387040,,N/A,10,291,EBAY_D1366EFD
Magnetic Portable Phone Case,Original Silicone Phone Case with MagSafe For iPhone 13 mini 13 Pro / 13 Pro Max,$14.55,$10.39,40.0%,https://www.ebay.com/itm/286930954779,,N/A,1,259,EBAY_0A780F8C
Phone Case for Iphone 15 Pro Max,For iPhone 15 Pro Max Case /15/14/13/12/11 Pro/ Phone Cover With Glass Protector,$8.39,$5.99,40.0%,https://www.ebay.com/itm/226489167826,,N/A,10,258,EBAY_1E1E4ECB
Phone Case,RIMOWA Case For iPhone 17 Pro Max Silver Aluminum Cover Phone Case,$27.96,$19.97,40.0%,https://www.ebay.com/itm/357978539484,,N/A,10,256,EBAY_5F2DC6E2
Magnetic Silicone Case for Iphone 13,iPhone Silicone Case for iPhone 13 series - MagSafe charging Silicone Phone case,$33.45,$23.89,40.0%,https://www.ebay.com/itm/136381766526,,N/A,1,253,EBAY_92A9D760
Shockproof Phone Case for Iphone 16 Pro Max,For iPhone 16 Pro Max Case 16E Phone Cover Shockproof Clip Fit Otterbox + Screen,$20.99,$14.99,40.0%,https://www.ebay.com/itm/277541899152,,N/A,1,251,EBAY_8C2E813B
Shockproof Slim Phone Case for Iphone 16,For iPhone 16e Phone Case Magnetic Translucent Slim Shockproof Cover,$13.99,$9.99,40.0%,https://www.ebay.com/itm/197212484792,,N/A,1,251,EBAY_1FB02ADF
Shockproof Rugged Protective Case for Iphone 16,For Apple iPhone 16e Phone Case Shockproof Heavy Duty Protective Cover,$5.45,$3.89,40.0%,https://www.ebay.com/itm/306253936085,,N/A,1,248,EBAY_01E0881C
Shockproof Phone Case for Iphone 14,For iPhone 14/Pro/Pro Max Case Phone Cover Shockproof Fit Defender+ Glass Screen,$18.19,$12.99,40.0%,https://www.ebay.com/itm/226866399071,,N/A,1,246,EBAY_6912CF58
Shockproof Case for Samsung Galaxy,For Samsung Galaxy A14 5G Case Phone Shockproof Camera Cover + Tempered Glass,$12.59,$8.99,40.0%,https://www.ebay.com/itm/127027529000,,N/A,1,245,EBAY_F2F6ED3C
Phone Case for Samsung Galaxy,For Samsung Galaxy S10/S10e/S10+ Hybrid Rubber Phone Case Cover / Tempered Glass,$11.19,$7.99,40.0%,https://www.ebay.com/itm/135655738183,,N/A,1,240,EBAY_F58D03C2
Rugged Phone Case for Iphone 16,For Apple iPhone 16e Phone Case Heavy-Duty Tough Dual Layer Cover+Tempered Glass,$11.19,$7.99,40.0%,https://www.ebay.com/itm/376012277967,,N/A,1,240,EBAY_E45D010A
Shockproof Phone Case for Samsung Galaxy,For Samsung Galaxy A16 5G A15 A14 A54 Case Phone Cover Shockproof +Screen Glass,$11.19,$7.99,40.0%,https://www.ebay.com/itm/226250321412,,N/A,1,238,EBAY_213C569A
Phone Case for Galaxy S21,For Samsung Galaxy S21 Ultra 5G FE Plus Case Phone Cover + Tempered Glass Screen,$12.59,$8.99,40.0%,https://www.ebay.com/itm/224422958634,,N/A,1,237,EBAY_4E48CCFC
